,final_mat,final_pt,in_laboratorio_informatica,in_laboratorio_ciencias,in_quadra_esportes,in_cozinha,in_biblioteca,in_sala_leitura,in_internet,in_alimentacao,tp_atividade_complementar,tp_localizacao,num_proffundamental,num_matri_fund_total_geral,num_turmas_fund_total_geral,nu_salas_utilizadas,nu_funcionarios,num_matri_fund_5a8,rural
161,260.86,242.81,0,0,1,1,0,0,0,1,0,2. Rural,38.0,0.0,0.0,6,24,0.0,1
162,268.11,257.83,0,0,1,1,0,0,1,1,0,1. Urbana,42.0,0.0,0.0,15,34,0.0,0
163,268.25,265.88,1,1,1,1,1,0,1,1,0,1. Urbana,20.0,0.0,0.0,16,63,0.0,0
164,248.49,237.62,1,0,0,1,0,1,0,1,0,2. Rural,51.0,0.0,0.0,7,33,0.0,1
165,258.47,250.7,0,0,1,1,0,0,0,1,0,1. Urbana,42.0,0.0,0.0,10,28,0.0,0
166,264.48,272.02,0,0,1,1,1,0,1,1,0,1. Urbana,53.0,0.0,0.0,12,31,0.0,0
167,239.93,237.09,0,0,1,1,0,0,1,1,0,2. Rural,48.0,0.0,0.0,13,30,0.0,1
168,250.6,256.76,1,1,1,1,1,1,1,1,0,1. Urbana,158.0,0.0,0.0,44,112,0.0,0
169,259.09,262.5,0,0,0,1,0,0,1,1,0,2. Rural,33.0,0.0,0.0,7,19,0.0,1
170,264.49,262.19,1,0,1,1,1,1,1,1,1,1. Urbana,44.0,0.0,0.0,8,39,0.0,0
171,259.78,258.98,1,1,1,1,1,0,1,1,0,1. Urbana,81.0,0.0,0.0,14,87,0.0,0
172,241.18,248.07,1,0,1,1,1,0,0,1,0,2. Rural,38.0,0.0,0.0,8,22,0.0,1
173,269.03,275.3,0,0,1,1,0,0,1,1,1,1. Urbana,95.0,0.0,0.0,9,51,0.0,0
174,248.96,249.96,1,0,1,1,1,0,1,1,1,1. Urbana,103.0,0.0,0.0,10,64,0.0,0
175,254.19,249.1,0,0,1,1,0,0,1,1,1,1. Urbana,88.0,0.0,0.0,8,69,0.0,0
176,267.79,268.77,1,0,1,1,1,1,1,1,1,1. Urbana,70.0,0.0,0.0,9,52,0.0,0
177,251.65,222.75,0,0,0,1,1,0,0,1,0,2. Rural,33.0,0.0,0.0,5,16,0.0,1
178,255.04,245.96,0,0,0,1,1,0,0,1,0,2. Rural,29.0,0.0,0.0,10,19,0.0,1
179,267.4,256.03,1,0,1,1,0,0,0,1,0,2. Rural,41.0,0.0,0.0,7,22,0.0,1
180,243.73,226.17,1,0,1,1,1,1,1,1,0,2. Rural,42.0,0.0,0.0,11,29,0.0,1
181,269.02,263.82,0,0,1,1,1,1,1,1,1,1. Urbana,144.0,0.0,0.0,22,82,0.0,0
182,277.92,287.35,1,1,1,1,1,0,1,1,0,1. Urbana,183.0,0.0,0.0,17,82,0.0,0
183,278.37,268.75,1,0,1,1,1,0,1,1,0,2. Rural,36.0,0.0,0.0,11,26,0.0,1
184,264.97,269.95,1,1,1,1,1,0,1,1,1,1. Urbana,116.0,0.0,0.0,14,60,0.0,0
185,265.74,263.11,1,1,1,1,1,0,1,1,0,1. Urbana,126.0,0.0,0.0,15,95,0.0,0
186,276.93,275.51,0,0,1,1,1,0,1,1,0,1. Urbana,134.0,0.0,0.0,17,61,0.0,0
187,273.62,261.86,0,0,1,1,1,1,1,1,0,2. Rural,35.0,0.0,0.0,6,33,0.0,1
188,273.12,252.33,1,0,1,1,1,0,1,1,0,2. Rural,74.0,0.0,0.0,10,33,0.0,1
189,266.98,262.9,0,0,1,1,0,0,1,1,1,1. Urbana,114.0,0.0,0.0,12,81,0.0,0
190,286.37,270.63,0,0,1,1,0,0,1,1,0,1. Urbana,28.0,0.0,0.0,5,33,0.0,0
191,267.25,258.29,1,0,1,1,0,0,1,1,0,2. Rural,118.0,0.0,0.0,16,64,0.0,1
192,271.26,270.2,0,0,1,1,1,0,1,1,1,1. Urbana,86.0,0.0,0.0,24,73,0.0,0
193,280.64,276.93,1,1,1,1,1,1,1,1,0,1. Urbana,124.0,0.0,0.0,15,78,0.0,0
194,269.28,262.91,1,0,1,1,1,0,1,1,1,1. Urbana,184.0,0.0,0.0,16,90,0.0,0
195,259.54,264.2,1,0,1,1,1,0,1,1,1,1. Urbana,89.0,0.0,0.0,13,55,0.0,0
196,270.29,278.62,1,1,1,1,1,1,1,1,0,1. Urbana,171.0,0.0,0.0,21,81,0.0,0
197,281.2,282.32,1,1,1,1,1,0,1,1,0,1. Urbana,171.0,0.0,0.0,21,93,0.0,0
198,248.66,255.63,1,1,1,1,1,0,1,1,0,1. Urbana,124.0,0.0,0.0,20,91,0.0,0
199,268.67,262.94,1,1,1,1,1,0,1,1,0,1. Urbana,131.0,0.0,0.0,17,76,0.0,0
200,250.81,263.0,0,0,1,1,0,0,1,1,0,2. Rural,74.0,0.0,0.0,11,59,0.0,1
201,296.22,283.19,1,0,1,1,1,0,1,1,0,1. Urbana,110.0,0.0,0.0,16,58,0.0,0
202,240.87,226.1,1,0,1,1,1,0,1,1,0,1. Urbana,26.0,0.0,0.0,6,38,0.0,0
203,241.91,239.91,0,0,0,1,0,0,1,1,0,2. Rural,28.0,0.0,0.0,10,20,0.0,1
204,237.65,237.99,0,0,0,1,0,0,1,1,0,2. Rural,41.0,0.0,0.0,12,44,0.0,1
205,257.95,260.25,0,1,1,1,0,0,1,1,1,1. Urbana,90.0,0.0,0.0,16,94,0.0,0
206,276.35,262.27,1,0,1,1,0,1,1,1,1,2. Rural,36.0,0.0,0.0,10,21,0.0,1
